,icao_designator,callsign_type,frequency
0,EGPD,APPROACH,119.055
1,EGPD,GROUND,121.705
2,EGPD,TOWER,118.105
3,EGPD,DIRECTOR,128.305
4,EGPD,INFORMATION,119.055
5,EGJA,APPROACH,128.655
6,EGJA,GROUND,130.505
7,EGJA,TOWER,125.355
8,EGPR,INFORMATION,118.080
9,EGNL,INFORMATION,123.205
10,EGAA,APPROACH,128.500
11,EGAA,GROUND,121.755
12,EGAA,TOWER,118.300
13,EGAA,DIRECTOR,120.905
14,EGAA,INFORMATION,126.130
15,EGAC,APPROACH,130.850
16,EGAC,TOWER,122.830
17,EGAC,INFORMATION,134.800
18,EGPL,APPROACH,119.205
19,EGPL,TOWER,119.205
20,EGPL,INFORMATION,119.205
21,EGPL,INFORMATION,113.950
22,EGKB,APPROACH,129.405
23,EGKB,TOWER,134.805
24,EGKB,INFORMATION,135.680
25,EGBB,APPROACH,123.980
26,EGBB,DELIVERY,131.005
27,EGBB,GROUND,121.930
28,EGBB,TOWER,121.500
29,EGBB,DIRECTOR,121.805
30,EGBB,INFORMATION,118.305
31,EGLK,INFORMATION,122.305
32,EGNH,TOWER,119.955
33,EGNH,TOWER,118.405
34,EGNH,INFORMATION,127.205
35,EGHH,APPROACH,119.480
36,EGHH,GROUND,121.500
37,EGHH,TOWER,121.705
38,EGHH,DIRECTOR,121.500
39,EGHH,INFORMATION,125.605
40,EGGD,DELIVERY,125.650
41,EGGD,TOWER,121.930
42,EGGD,DIRECTOR,133.850
43,EGGD,INFORMATION,136.080
44,EGSC,APPROACH,120.965
45,EGSC,TOWER,125.905
46,EGSC,DIRECTOR,124.980
47,EGSC,INFORMATION,124.980
48,EGEC,INFORMATION,125.905
49,EGFF,APPROACH,119.150
50,EGFF,TOWER,125.855
51,EGFF,INFORMATION,133.100
52,EGNC,APPROACH,123.605
53,EGNC,TOWER,123.605
54,EGNC,INFORMATION,118.430
55,EGHR,INFORMATION,122.455
56,EGBE,INFORMATION,123.830
57,EGTC,APPROACH,122.855
58,EGTC,TOWER,122.855
59,EGTC,INFORMATION,134.930
60,EGCN,APPROACH,126.225
61,EGCN,TOWER,128.775
62,EGCN,INFORMATION,126.225
63,EGPN,APPROACH,122.905
64,EGPN,TOWER,122.905
65,EGPN,INFORMATION,119.330
66,EGSU,INFORMATION,122.080
67,EGNX,GROUND,121.905
68,EGNX,TOWER,124.005
69,EGNX,DIRECTOR,120.130
70,EGNX,INFORMATION,126.180
71,EGPH,APPROACH,121.205
72,EGPH,DELIVERY,121.980
73,EGPH,GROUND,121.755
74,EGPH,TOWER,118.705
75,EGPH,INFORMATION,121.500
76,EGTR,INFORMATION,122.405
77,EGTE,APPROACH,128.980
78,EGTE,TOWER,119.805
79,EGTE,INFORMATION,123.580
80,EGTF,INFORMATION,123.430
81,EGLF,GROUND,121.815
82,EGLF,TOWER,122.780
83,EGLF,DIRECTOR,130.055
84,EGLF,INFORMATION,125.250
85,EGBJ,APPROACH,128.555
86,EGBJ,TOWER,122.905
87,EGBJ,INFORMATION,120.980
88,EGJB,APPROACH,121.500
89,EGJB,GROUND,128.655
90,EGJB,TOWER,121.805
91,EGJB,INFORMATION,119.955
92,EGNR,TOWER,124.955
93,EGNR,DIRECTOR,130.015
94,EGNR,INFORMATION,120.055
95,EGNJ,APPROACH,119.130
96,EGNJ,TOWER,119.130
97,EGNJ,INFORMATION,124.905
98,EGPE,APPROACH,122.605
99,EGPE,TOWER,118.405
100,EGPE,INFORMATION,122.605
101,EGPI,INFORMATION,123.155
102,EGNS,APPROACH,135.905
103,EGNS,TOWER,119.005
104,EGNS,INFORMATION,120.855
105,EGJJ,APPROACH,118.555
106,EGJJ,GROUND,120.305
107,EGJJ,TOWER,121.500
108,EGJJ,INFORMATION,121.905
109,EGBP,INFORMATION,118.430
110,EGPA,APPROACH,118.305
111,EGPA,TOWER,118.305
112,EGPA,INFORMATION,118.305
113,EGPA,INFORMATION,108.600
114,EGHC,TOWER,120.255
115,EGNM,APPROACH,134.580
116,EGNM,DELIVERY,121.805
117,EGNM,TOWER,120.305
118,EGNM,DIRECTOR,125.380
119,EGNM,INFORMATION,134.580
120,EGET,INFORMATION,125.305
121,EGGP,APPROACH,119.855
122,EGGP,GROUND,121.955
123,EGGP,TOWER,126.355
124,EGGP,INFORMATION,118.455
125,EGLC,DIRECTOR,132.700
126,EGLC,GROUND,121.830
127,EGLC,TOWER,118.080
128,EGLC,DIRECTOR,129.455
129,EGLC,INFORMATION,125.625
130,EGKK,DIRECTOR,118.950
131,EGKK,DELIVERY,121.500
132,EGKK,GROUND,126.825
133,EGKK,TOWER,129.025
134,EGKK,INFORMATION,121.955
135,EGLL,DIRECTOR,119.730
136,EGLL,DELIVERY,120.400
137,EGLL,GROUND,121.500
138,EGLL,TOWER,127.525
139,EGLL,INFORMATION,134.980
140,EGLL,INFORMATION,121.980
141,EGGW,DELIVERY,129.550
142,EGGW,GROUND,132.050
143,EGGW,TOWER,128.750
144,EGGW,DIRECTOR,121.885
145,EGGW,INFORMATION,121.755
146,EGSS,DELIVERY,120.625
147,EGSS,GROUND,132.050
148,EGSS,TOWER,121.955
149,EGSS,DIRECTOR,121.730
150,EGSS,INFORMATION,121.500
151,EGAE,APPROACH,123.625
152,EGAE,TOWER,134.155
153,EGAE,INFORMATION,119.380
154,EGMD,APPROACH,120.705
155,EGMD,TOWER,121.500
156,EGMD,INFORMATION,119.380
157,EGCC,DIRECTOR,121.355
158,EGCC,DELIVERY,118.580
159,EGCC,GROUND,135.005
160,EGCC,TOWER,121.705
161,EGCC,GROUND,121.855
162,EGCC,INFORMATION,118.630
163,EGCC,INFORMATION,119.405
164,EGCB,INFORMATION,120.255
165,EGNT,APPROACH,124.380
166,EGNT,DELIVERY,121.730
167,EGNT,GROUND,121.730
168,EGNT,TOWER,119.705
169,EGNT,DIRECTOR,125.830
170,EGNT,INFORMATION,124.380
171,EGHQ,APPROACH,133.405
172,EGHQ,GROUND,121.955
173,EGHQ,TOWER,134.380
174,EGHQ,INFORMATION,127.930
175,EGBK,INFORMATION,122.705
176,EGSH,APPROACH,119.355
177,EGSH,TOWER,124.255
178,EGSH,DIRECTOR,128.330
179,EGSH,INFORMATION,119.355
180,EGEO,INFORMATION,118.055
181,EGTK,APPROACH,125.090
182,EGTK,GROUND,121.955
183,EGTK,TOWER,133.430
184,EGTK,DIRECTOR,119.980
185,EGPK,APPROACH,121.500
186,EGPK,TOWER,129.450
187,EGPK,INFORMATION,118.150
188,EGKR,TOWER,119.605
189,EGKR,INFORMATION,125.305
190,EGTO,INFORMATION,122.255
191,EGHE,APPROACH,124.880
192,EGHE,TOWER,124.880
193,EGBS,INFORMATION,118.155
194,EGKA,APPROACH,123.155
195,EGKA,TOWER,123.155
196,EGKA,INFORMATION,125.405
197,EGHI,TOWER,120.230
198,EGHI,INFORMATION,122.730
199,EGMC,APPROACH,130.780
200,EGMC,TOWER,127.730
201,EGMC,DIRECTOR,128.965
202,EGMC,INFORMATION,130.780
203,EGPO,APPROACH,119.480
204,EGPO,TOWER,119.480
205,EGPO,INFORMATION,119.480
206,EGPO,INFORMATION,115.100
207,EGPB,TOWER,118.255
208,EGPB,INFORMATION,123.150
209,EGPB,INFORMATION,131.300
210,EGNV,APPROACH,118.855
211,EGNV,TOWER,119.805
212,EGNV,DIRECTOR,128.855
213,EGNV,INFORMATION,118.855
214,EGPU,INFORMATION,122.705
215,EGNO,TOWER,130.805
216,EGNO,INFORMATION,129.530
217,EGBW,INFORMATION,124.030
218,EGPC,APPROACH,119.705
219,EGPC,TOWER,119.705
220,EGPC,INFORMATION,119.705
221,EGPC,INFORMATION,113.600
222,EGBO,INFORMATION,123.005
223,EGHG,APPROACH,130.805
224,EGHG,TOWER,125.405
225,EGHG,INFORMATION,130.805
