,name,route
0,L612,XAMAB/HAWKE/BENBO/BOGNA/MID/WOD/COWLY/EMKUK/IXURA/HON/LISTO/LOVEL/BARTN/CROFT/CALDA/OBUNI/VAMEB/LAKEY/DCS/BEBNI/NAVSO/LUSIV/FENIK/GOW
1,L975,GOLES/ARPUB/UPTON/UNIGO/DESIG/DENBY/SONEX/BARTN/ASMIM/WAL/MALUD/ROLEX/LYNAS/NATKO/GINIS/IDEXA/LIFFY
2,N57,DEVAL/SANDY/DET/LAM/WELIN/SAPCO/TNT/TIPIL/DENBY/POL/BAMEP/SETEL/OLPOP/IPNOX/DCS
3,N560,GOW/FOYLE/ERSON/INBAS/LAGAV/NESDI/GUSSI/DAVOT/RIMOL/BONBY/CHINN/WIK/KOKAL
4,N601,DET/BAKER/BPK/POTON/BEDFO/EBOTO/PIPIN/LESTA/EMBOR/XAPOS/BOLBI/ULSAX/POL/NELSA/RIBEL/ERGAB/SHAPP/ABEVI/INPIP/UTOGU/INREV/ESKDO/IPDOR/TLA/GRICE
5,N864,BHD/DAWLY/TINAN/TIVER/ATWEL/MULIT/EXMOR/NEZZA/NUMPO/BCN/DIKAS/NAVOV/GOGIG/TOPRO/TALGA/UMOLO/NITON/OKTEM/NILGI/MONTY/GODPA/REXAM/IVLOD/WAL/GUNTU/BILVO/SUBUK/DCS/ASRUS/UNURO/TLA/PIPAR/NOVBA/IBOLU/ASNUD
6,P16,NOKIN/ASMIM/CROFT/RIBEL/GASKO
7,P17,NITON/NOKIN/KUXEM/BARTN/POL/IPSIR/OBOXA
8,P18,TELBA/STAFA/UTUXA/LISTO/POL/IDKOL/ABKAT/GASKO/UVAVU/TILNI/GIRLI/NATEB/ELMUD/ALASO/RITSI/MADAD/NEXUS/BALID/UPGET/OKPAL/RATPU/ADN
9,P600,ROTEV/GOTNA/BLACA/TUNSO/GIRVA/TRN/FENIK/GOSAM/GRICE/ENUKU/EDONU/PTH/ASNUD/GANKI/GLESK/NAXIL/ADN/OSLEL/LESNI/BUDON/OVDAN
10,T256,DCS/RIPNO/OSMEG/ORVUL/NORBO
11,Y250,DTY/AKUPA/LESTA/MAMUL/UPTON/BATLI/RIMTO/OBOXA/GASKO
12,Y904,ADN/NANEV/SMOKI/WIK
13,Y905,ADN/PETOX/RISDU/BEKET/ERDOG/GAVEL/RAVDI/MOCHA/SUM
14,Y906,RIMOL/GARVA/ULLAP/STN
